Protein Name,SwissProt Acc. No.,M1,M2,M3,M4,M5,M6,M7,M8,M9,UM1,UM2,UM3,UM4,UM5,UM6,UM7,UM8,UM9,N,Log2 Fold Change,Fold Change,P Value
26S protease regulatory subunit 7,P35998,-0.077,0.361,0.401,-0.179,-1.721,1.057,-0.540,0.018,-0.221,0.175,0.440,-2.906,0.087,-1.666,0.818,0.496,-0.979,-0.380,18,-0.15,-1.1,0.49318
26S protease regulatory subunit 8,P62195,0.219,0.512,0.418,1.016,-0.684,0.751,-0.929,0.292,-0.320,0.525,-0.020,-2.120,0.419,-2.441,0.472,0.465,-0.266,0.292,18,-0.26,-1.2,0.33624
26S proteasome non-ATPase regulatory subunit 1,Q99460,-0.031,0.420,-0.031,0.035,-0.974,-0.391,-0.826,-1.012,-0.189,0.474,0.340,-3.154,0.101,-0.457,-0.298,0.143,-0.043,-0.057,18,0.16,1.1,0.98966
26S proteasome non-ATPase regulatory subunit 10,O75832,0.277,0.584,0.291,-0.019,-0.272,0.047,-0.776,0.286,-0.351,0.145,0.013,-2.608,-0.352,-0.326,-0.378,-0.153,-1.028,0.724,18,-0.29,-1.2,0.20964
26S proteasome non-ATPase regulatory subunit 11,O00231,-0.022,0.245,0.311,-0.086,-0.550,-0.218,-1.235,0.068,-0.385,-0.208,-0.646,-1.614,0.153,-0.922,-0.311,-0.132,-0.397,0.147,18,-0.21,-1.2,0.36421
26S proteasome non-ATPase regulatory subunit 12,O00232,0.158,0.304,0.278,0.012,-0.361,-0.493,-0.927,0.428,-0.714,0.331,-0.426,-2.087,0.185,-1.065,0.278,0.494,-0.927,0.203,18,-0.07,-1.0,0.57779
26S proteasome non-ATPase regulatory subunit 13,Q9UNM6,0.379,0.592,0.313,-0.035,-0.287,0.032,-0.451,0.372,-0.025,0.273,-0.339,-1.466,0.497,-0.447,-0.008,-0.451,-0.412,0.719,18,-0.19,-1.1,0.26827
26S proteasome non-ATPase regulatory subunit 14,O00487,,,,0.545,-0.146,-0.186,,,,,,,-0.651,-0.597,-0.026,,,,6,-0.51,-1.4,0.18519
26S proteasome non-ATPase regulatory subunit 2,Q13200,0.020,0.126,-0.007,0.160,-0.238,-0.531,-0.710,-0.299,-0.086,0.020,0.140,-1.481,0.027,-0.691,0.093,0.910,0.086,-1.082,18,0.08,1.1,0.86379
26S proteasome non-ATPase regulatory subunit 3,O43242,0.433,1.138,1.244,0.891,-0.078,0.625,0.176,0.562,0.256,0.553,0.194,-1.148,0.785,-0.025,0.215,0.482,0.429,0.509,18,-0.34,-1.3,0.15055
26S proteasome non-ATPase regulatory subunit 4,P55036,0.152,0.870,0.006,0.135,-0.118,-0.118,-0.180,0.737,-0.048,-0.193,0.325,-1.176,0.148,-0.052,-0.011,0.444,-0.074,-0.896,18,-0.29,-1.2,0.15970
26S proteasome non-ATPase regulatory subunit 5,Q16401,0.378,-0.047,0.937,0.677,0.199,0.212,0.060,0.498,-0.313,0.365,-0.100,-1.865,-0.066,-0.930,-0.425,-0.073,-1.693,1.189,18,-0.46,-1.4,0.06468
26S proteasome non-ATPase regulatory subunit 6,Q15008,-0.076,0.163,0.788,-0.011,-0.899,0.614,0.087,-0.165,0.114,0.389,-0.368,-1.963,-0.116,-1.283,0.628,-0.139,-1.585,0.619,18,-0.31,-1.2,0.19010
26S proteasome non-ATPase regulatory subunit 7,P51665,0.170,0.223,-0.109,0.328,-0.284,-0.111,-0.565,-0.565,-0.444,-0.002,0.011,-2.723,-0.017,-1.318,-1.027,-0.311,-0.219,-0.325,18,-0.35,-1.3,0.13405
26S proteasome non-ATPase regulatory subunit 8,P48556,0.054,0.080,0.306,,,,,,,0.425,-0.106,0.080,,,,,,,6,0.00,1.0,0.94256
26S proteasome non-ATPase regulatory subunit 9,O00233,-0.905,0.076,-0.455,-0.647,-0.780,0.070,-0.891,-0.280,-0.518,0.316,-0.335,-0.905,-0.022,-0.342,-0.487,0.052,-0.253,-0.320,18,0.22,1.2,0.20347
28 kDa heat- and acid-stable phosphoprotein,Q13442,-0.591,-0.275,0.033,-0.350,-0.788,-0.298,-0.719,0.531,-0.613,-0.247,0.430,-1.600,-0.019,-0.245,-0.550,-0.373,-0.253,-0.823,18,-0.04,-1.0,0.77581
"28S ribosomal protein S12, mitochondrial",O15235,,,,,,,0.265,0.147,0.943,,,,,,,0.585,-0.902,0.917,6,-0.11,-1.1,0.70158
"28S ribosomal protein S22, mitochondrial",P82650,-0.039,0.000,0.199,,,,,,,0.172,-0.160,-0.066,,,,,,,6,-0.07,-1.0,0.59515
"28S ribosomal protein S23, mitochondrial",Q9Y3D9,-0.732,-1.210,0.849,-0.814,-0.363,-0.070,0.391,-0.233,-0.102,0.131,-0.494,1.340,-0.177,0.833,0.475,-0.233,-0.115,0.177,18,0.46,1.4,0.11904
"28S ribosomal protein S27, mitochondrial",Q92552,,,,-0.664,-0.133,-0.997,,,,,,,-0.240,-0.146,0.293,,,,6,0.54,1.5,0.13199
"28S ribosomal protein S28, mitochondrial",Q9Y2Q9,,,,0.094,0.147,0.013,,,,,,,-0.306,0.132,0.571,,,,6,0.09,1.1,0.85980
"28S ribosomal protein S29, mitochondrial",P51398,-0.120,-0.771,0.358,0.034,-0.245,0.194,0.326,-0.178,0.180,0.198,-0.308,1.088,0.034,0.353,0.074,-0.059,0.286,-0.112,18,0.22,1.2,0.28347
"28S ribosomal protein S31, mitochondrial",Q92665,-0.152,-0.841,-0.750,-0.526,-0.353,-0.871,0.000,-1.144,-0.425,0.181,-0.404,0.181,-0.432,0.338,0.059,-0.267,0.105,-0.053,18,0.51,1.4,0.00334
"28S ribosomal protein S35, mitochondrial",P82673,,,,-0.275,0.111,-0.421,0.393,0.154,0.036,,,,-0.421,1.400,1.068,0.115,0.514,0.249,12,0.59,1.5,0.13100
"28S ribosomal protein S36, mitochondrial",P82909,0.144,-0.652,-0.891,-0.414,0.290,-0.109,1.147,-0.447,-0.169,-0.415,-0.241,1.100,-0.639,0.170,-0.254,-1.030,0.961,-1.418,18,0.02,1.0,0.83275
2-aminoethanethiol dioxygenase,Q96SZ5,-0.184,0.161,0.453,-0.040,0.158,0.038,-0.917,0.238,0.531,0.586,-0.344,-0.318,0.131,0.066,0.000,0.397,-0.718,0.823,18,0.04,1.0,0.92537
"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial",Q5HYK3,0.073,0.219,0.259,0.099,0.551,0.431,0.626,0.081,0.519,0.431,-0.446,1.308,0.378,0.126,0.258,0.148,0.507,-0.038,18,0.04,1.0,0.90754
"2-oxoglutarate dehydrogenase, mitochondrial",Q02218,1.082,-2.360,-1.110,0.232,1.548,-0.723,2.698,-1.725,0.613,0.856,-0.977,2.012,-3.173,0.843,0.777,-1.233,0.585,-1.434,18,-0.37,-1.3,0.77566
"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",P12694,0.662,0.662,-0.202,0.124,0.430,0.057,1.326,-0.280,-0.015,0.197,-0.587,1.287,-0.022,0.855,0.576,-0.455,0.847,0.596,18,0.09,1.1,0.83132
"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial",P21953,0.658,0.418,-4.035,0.277,0.290,-0.427,1.125,-0.417,0.275,0.539,0.353,2.226,-0.574,0.582,0.011,-1.573,0.540,0.208,18,0.39,1.3,0.45937
"3'(2'),5'-bisphosphate nucleotidase 1",O95861,-0.103,0.335,1.399,0.782,0.078,-0.373,-0.439,-1.423,0.504,-1.431,-0.887,-2.377,-1.743,-0.984,-0.825,0.490,-1.158,-1.038,18,-1.18,-2.3,0.00577
"39S ribosomal protein L10, mitochondrial",Q7Z7H8,-0.117,-0.928,0.188,-0.241,-0.095,-0.707,,,,0.016,-0.928,0.613,-0.507,0.184,0.210,,,,12,0.28,1.2,0.40363
"39S ribosomal protein L11, mitochondrial",Q9Y3B7,0.392,0.099,-0.538,0.155,0.328,0.314,0.290,0.171,0.663,-0.140,0.047,2.159,0.394,0.434,0.394,0.410,0.290,0.197,18,0.41,1.3,0.31277
"39S ribosomal protein L12, mitochondrial",P52815,-0.655,-0.683,0.208,-0.151,0.339,-0.855,0.330,-0.149,-0.480,-0.564,-0.854,1.364,-2.116,1.243,0.354,-0.441,0.223,-0.667,18,0.35,1.3,0.85953
"39S ribosomal protein L13, mitochondrial",Q9BYD1,,,,-0.179,-0.245,-0.032,-0.274,-0.194,-0.512,,,,-0.350,-0.111,-0.284,-0.153,-0.446,0.378,12,0.10,1.1,0.57605
"39S ribosomal protein L17, mitochondrial",Q9NRX2,,,,0.877,0.691,0.518,,,,,,,0.625,0.545,0.571,,,,6,-0.12,-1.1,0.34072
"39S ribosomal protein L19, mitochondrial",P49406,-0.093,-0.638,0.226,-0.319,0.026,-0.546,,,,-0.492,-0.386,0.160,-0.253,-0.093,-0.040,,,,12,0.02,1.0,0.81696
"39S ribosomal protein L21, mitochondrial",Q7Z2W9,-0.176,-0.030,0.130,0.623,0.291,-0.133,-0.724,-0.008,-0.049,0.103,-0.070,1.073,-0.372,0.450,0.171,0.497,0.417,0.896,18,0.38,1.3,0.08207
"39S ribosomal protein L3, mitochondrial",P09001,-0.160,-0.519,0.040,,,,,,,-0.559,-0.584,0.545,,,,,,,6,0.10,1.1,0.97472
"39S ribosomal protein L37, mitochondrial",Q9BZE1,-0.301,-0.314,1.307,,,,0.620,0.076,0.567,0.483,0.150,1.307,,,,0.288,0.328,0.753,12,0.16,1.1,0.48223
"39S ribosomal protein L38, mitochondrial",Q96DV4,-0.310,-0.164,0.727,0.095,0.069,-0.304,0.480,-0.038,-0.077,0.049,-0.550,0.089,0.587,-0.475,-0.131,-0.130,-0.476,0.081,18,-0.16,-1.1,0.35537
"39S ribosomal protein L39, mitochondrial",Q9NYK5,-0.027,-0.213,-0.053,,,,0.983,0.372,-0.159,-0.253,-0.053,1.116,,,,-0.093,-0.610,0.026,12,-0.08,-1.1,0.68021
"39S ribosomal protein L4, mitochondrial",Q9BYD3,-0.026,-0.133,0.093,0.301,0.208,-0.044,0.231,0.097,0.323,-0.119,0.146,0.345,-0.496,0.408,-0.071,0.044,-0.115,-0.274,18,-0.11,-1.1,0.24927
"39S ribosomal protein L40, mitochondrial",Q9NQ50,-0.336,-0.495,-0.257,-0.166,0.047,-0.351,0.714,-0.018,-0.721,-0.043,-0.390,0.874,-0.430,0.233,0.021,-0.069,1.139,-1.691,18,0.27,1.2,0.66004
"39S ribosomal protein L44, mitochondrial",Q9H9J2,-0.239,-0.332,-0.226,-0.131,0.148,-0.396,0.290,-0.281,-0.042,-0.027,-0.531,0.425,-0.556,0.135,-0.131,-0.720,0.011,-0.189,18,-0.02,-1.0,0.77625
"39S ribosomal protein L46, mitochondrial",Q9H2W6,,,,2.099,2.432,0.452,,,,,,,0.172,2.405,1.661,,,,6,-0.20,-1.2,0.79584
"39S ribosomal protein L47, mitochondrial",Q9HD33,,,,2.498,2.711,2.565,,,,,,,2.830,3.309,2.817,,,,6,0.41,1.3,0.08548
"39S ribosomal protein L48, mitochondrial",Q96GC5,,,,0.066,0.186,0.066,,,,,,,0.531,0.545,0.452,,,,6,0.40,1.3,0.00123
"39S ribosomal protein L49, mitochondrial",Q13405,0.192,-1.431,-0.299,-0.236,0.018,-0.514,0.668,-0.887,0.548,-0.419,0.006,1.494,-0.249,0.536,-0.010,-0.462,0.521,-0.846,18,0.32,1.2,0.40067
"39S ribosomal protein L50, mitochondrial",Q8N5N7,-0.156,-0.142,0.123,0.090,0.263,-0.096,0.159,-0.373,0.265,0.016,-0.156,1.040,-0.082,0.409,0.143,0.318,0.251,0.106,18,0.24,1.2,0.14557
"39S ribosomal protein L51, mitochondrial",Q4U2R6,,,,,,,0.306,0.252,0.293,,,,,,,0.239,0.398,-0.226,6,-0.12,-1.1,0.47930
"39S ribosomal protein L54, mitochondrial",Q6P161,,,,0.054,-0.333,-0.333,,,,,,,0.625,0.970,-0.133,,,,6,0.75,1.7,0.11972
3-hydroxyacyl-CoA dehydrogenase type-2,Q99714,0.446,-0.671,-1.628,-0.640,0.383,-0.693,1.683,-2.170,0.567,0.006,-0.259,1.255,-0.998,0.729,0.369,-0.256,0.513,-1.188,18,0.08,1.1,0.51005
"3-hydroxyisobutyrate dehydrogenase, mitochondrial",P31937,0.885,0.619,-2.425,0.085,0.471,0.019,1.687,0.172,0.305,0.806,0.938,1.603,0.218,1.108,0.523,-0.466,1.328,-0.599,18,0.28,1.2,0.38150
"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",Q6NVY1,0.269,-0.501,-3.751,-0.064,-0.888,-1.101,1.031,-3.005,-0.868,1.678,-1.738,0.734,-1.434,0.534,-0.356,-0.961,0.327,0.167,18,0.68,1.6,0.18402
"3-ketoacyl-CoA thiolase, mitochondrial",P42765,0.015,-0.397,-1.527,-0.637,0.600,-0.517,1.485,0.355,0.303,0.732,-0.184,1.689,-0.011,1.011,-0.118,-1.476,0.901,-1.239,18,0.26,1.2,0.69509
"3-ketoacyl-CoA thiolase, peroxisomal",P09110,-0.314,-0.844,-0.472,-1.629,0.351,-0.658,0.799,-0.077,-0.144,-0.180,-1.017,0.590,-0.380,0.590,-0.511,-1.129,-0.304,-1.381,18,-0.07,-1.1,0.80752
3-ketodihydrosphingosine reductase,Q06136,-0.039,-0.306,0.000,,,,,,,-0.186,-0.092,0.518,,,,,,,6,0.22,1.2,0.46341
3-mercaptopyruvate sulfurtransferase,P25325,0.170,0.223,0.688,-0.195,-0.143,0.282,,,,1.206,-0.946,-0.721,0.362,-0.182,0.495,,,,12,0.02,1.0,0.71189
"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial",Q9NWU1,0.656,0.152,0.005,0.375,0.309,0.402,0.975,-0.153,0.390,-0.698,0.564,1.520,0.522,-0.302,0.893,-0.260,0.657,0.589,18,0.15,1.1,0.87263
40S ribosomal protein S10,P46783,0.618,0.870,0.565,0.425,-0.080,0.917,0.511,-0.312,-0.059,0.618,0.591,-0.604,0.638,0.771,-0.013,0.725,1.282,0.511,18,0.14,1.1,0.61332
40S ribosomal protein S11,P62280,0.180,-0.124,0.194,,,,0.404,0.737,0.391,0.499,0.207,0.075,,,,0.697,0.285,-1.482,12,-0.14,-1.1,0.47860
40S ribosomal protein S12,P25398,-0.320,0.663,-0.771,0.834,-2.166,0.421,-1.564,0.536,-0.727,-0.400,0.278,-2.365,0.263,0.090,-2.355,-0.169,0.203,-1.192,18,-0.29,-1.2,0.58143
40S ribosomal protein S13,P62277,-1.027,-1.238,-0.773,-0.238,-0.198,0.612,-1.794,-0.064,-0.782,-0.402,0.103,-0.906,-1.527,-1.061,-1.830,-0.317,-0.130,-1.155,18,-0.22,-1.2,0.56311
40S ribosomal protein S14,P62263,0.409,0.276,0.197,-0.132,-1.379,0.985,-0.411,1.065,0.519,0.356,0.515,-1.145,1.317,-0.822,0.639,1.304,0.228,-2.098,18,0.05,1.0,0.76896
40S ribosomal protein S15,P62841,-0.163,-0.097,-0.189,-0.185,-0.185,-0.119,0.229,-0.423,-0.476,-0.176,0.023,-0.416,-0.265,-0.132,-0.132,-0.806,0.667,-0.209,18,0.05,1.0,0.90359
40S ribosomal protein S15a,P62244,0.664,0.545,0.492,0.604,-0.233,0.552,-0.300,0.711,-0.007,0.518,0.146,-2.311,-0.352,-0.165,-0.352,0.605,0.393,-1.349,18,-0.48,-1.4,0.07643
40S ribosomal protein S16,P62249,-0.206,-0.645,-0.365,1.163,-1.707,-0.366,-0.439,0.146,-0.093,0.100,0.033,-1.229,-0.790,-0.564,-0.047,-0.080,-0.545,-1.301,18,-0.31,-1.2,0.49943
40S ribosomal protein S17-like,P0CW22,0.327,0.912,-0.071,0.242,-0.010,0.323,-0.930,0.745,-0.542,0.287,0.752,-2.704,0.349,-0.488,-0.913,0.400,0.613,-0.783,18,-0.21,-1.2,0.36351
40S ribosomal protein S18,P62269,-0.193,-0.140,0.045,0.108,-0.065,-0.012,-0.167,0.777,-2.201,-0.286,0.060,-0.327,0.187,-0.729,-0.331,0.896,0.352,-0.499,18,0.06,1.0,0.68546
40S ribosomal protein S19,P39019,0.540,0.593,0.009,0.447,-0.297,0.235,-0.508,0.979,-1.269,0.075,0.181,-1.731,0.048,-0.071,-0.694,0.408,0.421,-0.364,18,-0.29,-1.2,0.40814
40S ribosomal protein S2,P15880,-0.246,-1.784,-0.246,0.071,-0.752,0.205,-2.519,1.344,0.441,0.431,-0.936,-0.512,-1.099,-1.085,-0.633,0.295,-1.873,-0.980,18,-0.52,-1.4,0.49010
40S ribosomal protein S20,P60866,-0.655,-0.337,-0.535,-0.383,-1.114,-0.290,-2.170,0.705,0.494,-0.363,-0.244,-2.142,-0.356,-1.059,-1.073,-0.092,1.303,-4.516,18,-0.08,-1.1,0.45031
40S ribosomal protein S21,P63220,0.255,0.920,-0.117,-0.068,-0.068,-0.081,-0.188,-0.054,-0.147,-0.795,0.203,-1.034,-0.068,-0.107,-0.175,0.011,-0.134,-0.054,18,-0.29,-1.2,0.12269
40S ribosomal protein S23,P62266,-0.579,-0.644,-0.153,-0.166,-0.710,-0.590,,,,-0.630,-0.153,-0.989,-0.526,-0.617,-0.538,,,,12,-0.10,-1.1,0.50875
40S ribosomal protein S24,P62847,0.380,0.965,0.859,0.699,0.367,0.899,0.568,1.259,0.596,0.738,0.951,-0.124,0.673,0.513,0.619,0.861,0.715,-0.230,18,-0.19,-1.1,0.23781
40S ribosomal protein S25,P62851,-0.152,0.500,-0.908,0.496,0.003,-0.063,-0.052,0.414,-0.410,-0.072,0.845,-0.496,-0.275,0.575,-1.018,-0.171,0.281,-0.345,18,-0.02,-1.0,0.82137
40S ribosomal protein S26,P62854,,,,,,,-0.571,0.717,-0.253,,,,,,,0.398,0.411,-0.213,6,0.15,1.1,0.62087
40S ribosomal protein S27,P42677,,,,,,,-1.117,0.545,-0.120,,,,,,,0.398,-1.102,-1.276,6,-0.37,-1.3,0.58253
40S ribosomal protein S27-like,Q71UM5,,,,0.040,-0.292,-0.092,,,,,,,-0.080,-0.106,-0.213,,,,6,-0.02,-1.0,0.86968
40S ribosomal protein S28,P62857,-0.333,0.267,-0.133,-0.008,-0.327,-0.101,-0.696,0.499,-0.405,0.160,0.346,-1.472,-0.115,-0.446,-0.168,0.180,-0.231,-0.511,18,-0.08,-1.1,0.60746
40S ribosomal protein S3,P23396,-0.089,-0.381,-0.169,0.097,-0.381,-0.155,-0.551,0.231,-0.366,0.216,-0.156,-0.860,-0.328,-0.422,-0.249,0.484,0.192,-1.429,18,-0.01,-1.0,0.68626
40S ribosomal protein S3a,P61247,0.684,1.361,0.696,1.100,0.223,0.887,0.475,0.795,0.170,0.976,1.414,-0.963,1.685,0.197,0.077,0.887,0.887,0.954,18,0.09,1.1,0.91833
"40S ribosomal protein S4, X isoform",P62701,0.012,0.025,0.277,0.383,-0.028,0.623,-0.329,0.668,0.029,0.211,0.157,-0.068,-0.015,-0.267,-0.082,0.256,-0.317,0.309,18,-0.18,-1.1,0.23512
40S ribosomal protein S5,P46782,-0.517,0.147,-0.490,0.293,-1.246,0.174,-1.731,0.143,-0.481,-0.583,-0.012,-0.955,0.121,-0.622,-1.129,-0.401,0.143,-0.082,18,-0.05,-1.0,0.94083
40S ribosomal protein S6,P62753,0.140,0.194,0.513,0.302,0.276,0.713,0.595,1.019,0.568,0.366,-0.205,0.499,0.289,-0.083,0.010,0.754,0.036,-1.465,18,-0.38,-1.3,0.06582
40S ribosomal protein S7,P62081,0.072,-0.286,-0.419,-0.201,-0.267,-0.134,-0.152,0.168,-0.005,-1.866,0.750,0.271,-0.279,-0.279,-0.320,0.048,-0.217,-1.321,18,-0.06,-1.0,0.42741
40S ribosomal protein S8,P62241,-0.501,-0.235,0.070,-0.122,-0.681,0.342,-0.306,-0.186,-0.094,0.150,0.083,-0.753,0.063,-0.454,-0.335,-0.174,-0.174,-0.254,18,-0.02,-1.0,0.91579
40S ribosomal protein S9,P46781,-0.223,-0.078,0.135,-0.075,-0.632,0.111,-0.763,0.020,0.379,0.109,-0.370,-1.445,0.018,-0.741,-0.553,0.219,-0.526,-1.201,18,-0.32,-1.2,0.11864
40S ribosomal protein SA,P08865,0.427,0.640,-0.529,0.226,-0.146,0.066,-0.069,-0.282,-0.001,0.334,0.401,-0.542,0.425,0.226,-0.066,0.516,0.463,0.105,18,0.16,1.1,0.31499
"4-aminobutyrate aminotransferase, mitochondrial",P80404,0.181,0.101,-2.649,-0.365,-0.870,-0.724,0.821,-1.743,-0.122,-0.072,-1.822,0.327,0.246,0.352,-2.571,-0.015,-0.493,-2.381,18,-0.05,-1.0,0.82860
4-trimethylaminobutyraldehyde dehydrogenase,P49189,0.267,-0.277,-1.631,0.472,-0.112,0.658,0.948,-1.432,0.815,0.028,0.400,0.613,-2.602,0.286,0.698,0.363,-1.511,0.218,18,-0.09,-1.1,0.78579
"5'(3')-deoxyribonucleotidase, cytosolic type",Q8TCD5,0.317,0.556,0.781,-0.188,0.397,0.968,0.150,-0.632,0.695,0.781,-1.012,-0.228,-1.118,0.236,0.901,0.469,-0.315,0.829,18,-0.18,-1.1,0.37970
52 kDa repressor of the inhibitor of the protein kinase,O43422,,,,0.186,-0.120,-0.120,,,,,,,0.000,0.080,0.106,,,,6,0.07,1.1,0.49704
