"","Protein.Name","Accession.Number","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12"
"42","Heterogeneous nuclear ribonucleoprotein U-like protein 2 OS=Homo sapiens GN=HNRNPUL2 PE=1 SV=1","sp|Q1KMD3|HNRL2_HUMAN",1.18,0.8,1.31,1.21,NA,1.17,1.25,0.85,1.65,NA,NA,1.2
"43","Protein FAM162A OS=Homo sapiens GN=FAM162A PE=1 SV=2","sp|Q96A26|F162A_HUMAN",1.09,0.72,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Cysteine-rich protein 1 OS=Homo sapiens GN=CRIP1 PE=1 SV=3","sp|P50238|CRIP1_HUMAN",1.01,0.89,1.3,1.05,1.14,1.07,NA,NA,NA,NA,NA,NA
"45","Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens GN=HNRNPK PE=1 SV=1","sp|P61978|HNRPK_HUMAN",1.31,0.57,1.29,1.38,NA,1.36,1,0.65,1.11,NA,NA,1.36
"46","Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 1 OS=Homo sapiens GN=TSTD1 PE=1 SV=3","sp|Q8NFU3|TSTD1_HUMAN",1.27,1.37,1.29,1.08,0.99,1.23,NA,NA,NA,1.33,1.21,NA
"47","Splicing factor, arginine/serine-rich 7 OS=Homo sapiens GN=SFRS7 PE=1 SV=1","sp|Q16629|SFRS7_HUMAN",0.97,0.88,1.29,1.24,1,1.16,1.04,1.05,1.24,1,0.97,1.02
"48","High mobility group nucleosome-binding domain-containing protein 4 OS=Homo sapiens GN=HMGN4 PE=1 SV=3","sp|O00479|HMGN4_HUMAN",1.67,1.11,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Lamin-B2 OS=Homo sapiens GN=LMNB2 PE=1 SV=3","sp|Q03252|LMNB2_HUMAN",0.87,1.01,1.29,1.2,1.15,0.89,1.09,1.03,1.2,1.42,1.05,0.77
"50","UV excision repair protein RAD23 homolog B OS=Homo sapiens GN=RAD23B PE=1 SV=1","sp|P54727|RD23B_HUMAN",1.02,1.11,1.28,NA,NA,NA,0.88,0.93,1.05,NA,NA,NA
"51","Replication protein A 32 kDa subunit OS=Homo sapiens GN=RPA2 PE=1 SV=1","sp|P15927|RFA2_HUMAN",0.95,1.29,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Tyrosine-protein phosphatase non-receptor type 6 OS=Homo sapiens GN=PTPN6 PE=1 SV=1","sp|P29350|PTN6_HUMAN",1.08,0.98,1.24,1.3,0.94,0.95,1.17,0.94,1.06,0.81,1.06,NA
"53","Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens GN=HNRNPC PE=1 SV=4","sp|P07910|HNRPC_HUMAN",1.22,1.87,1.24,1.08,1.28,1.02,1.09,1.07,0.63,1.23,0.97,NA
"54","Core histone macro-H2A.1 OS=Homo sapiens GN=H2AFY PE=1 SV=4","sp|O75367|H2AY_HUMAN",1.04,1.06,1.23,0.96,0.86,1.07,1.28,1.01,1.07,0.86,0.79,0.96
"55","Beta-2-microglobulin OS=Homo sapiens GN=B2M PE=1 SV=1","sp|P61769|B2MG_HUMAN",1.08,1.42,1.23,NA,NA,NA,NA,NA,NA,1.38,1.27,NA
"56","Actin, cytoplasmic 2 OS=Homo sapiens GN=ACTG1 PE=1 SV=1","sp|P63261|ACTG_HUMAN",1.07,1.05,1.23,1.05,0.93,1.08,1.02,0.79,0.99,0.9,0.85,NA
"57","Histone H4 OS=Homo sapiens GN=HIST1H4A PE=1 SV=2","sp|P62805|H4_HUMAN",1.1,1.64,1.23,1.13,1.07,1.02,1.12,2.7,1,0.91,1.03,NA
"58","Histone H2B type 1-M OS=Homo sapiens GN=HIST1H2BM PE=1 SV=3","sp|Q99879|H2B1M_HUMAN",1.03,1.31,1.23,NA,NA,NA,NA,NA,NA,1.09,1.17,NA
"59","Proteasome subunit beta type-1 OS=Homo sapiens GN=PSMB1 PE=1 SV=2","sp|P20618|PSB1_HUMAN",1.09,1.1,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Protein disulfide-isomerase A6 OS=Homo sapiens GN=PDIA6 PE=1 SV=1","sp|Q15084|PDIA6_HUMAN",0.75,1.54,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2","sp|P11021|GRP78_HUMAN",1.2,0.98,1.22,1.16,1.01,1.23,1.02,1.12,0.98,1,1.16,NA
"62","Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens GN=HNRNPM PE=1 SV=3","sp|P52272|HNRPM_HUMAN",1.2,1.29,1.21,1.27,0.97,1.15,0.92,1.54,1.58,NA,NA,NA
"63","Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4","sp|P08670|VIME_HUMAN",1.26,0.87,1.21,1.16,1.01,1.34,0.8,0.65,0.66,0.91,0.85,1.07
"64","Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4","sp|P21333|FLNA_HUMAN",1.09,1.23,1.21,1.24,1.01,1.3,1.4,1.08,1.06,1.7,1.3,NA
"65","Catalase OS=Homo sapiens GN=CAT PE=1 SV=3","sp|P04040|CATA_HUMAN",1.08,1.4,1.21,1.06,1.27,0.99,NA,NA,NA,NA,NA,NA
"66","40S ribosomal protein S4, X isoform OS=Homo sapiens GN=RPS4X PE=1 SV=2","sp|P62701|RS4X_HUMAN",0.81,1.01,1.21,1.07,1,1.03,0.82,0.71,0.76,0.91,0.91,NA
"67","14-3-3 protein theta OS=Homo sapiens GN=YWHAQ PE=1 SV=1","sp|P27348|1433T_HUMAN",0.79,0.93,1.21,1.06,1.02,1.2,NA,NA,NA,NA,NA,NA
"68","Histone H2A.x OS=Homo sapiens GN=H2AFX PE=1 SV=2","sp|P16104|H2AX_HUMAN",1.24,0.74,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Peptidyl-prolyl cis-trans isomerase FKBP1A OS=Homo sapiens GN=FKBP1A PE=1 SV=2","sp|P62942|FKB1A_HUMAN",1.36,1.02,1.21,1.54,1.23,1.3,NA,NA,NA,NA,NA,NA
"70","Electron transfer flavoprotein subunit beta OS=Homo sapiens GN=ETFB PE=1 SV=3","sp|P38117|ETFB_HUMAN",1.14,1.25,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens GN=HNRNPU PE=1 SV=6","sp|Q00839|HNRPU_HUMAN",1.11,0.77,1.2,1.04,0.8,1.01,1.37,0.75,1.26,0.89,0.78,0.99
"72","Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens GN=SNRPD3 PE=1 SV=1","sp|P62318|SMD3_HUMAN",1.08,1.38,1.2,1.02,1.25,0.98,NA,NA,NA,1.14,1.2,NA
"73","Splicing factor, arginine/serine-rich 1 OS=Homo sapiens GN=SFRS1 PE=1 SV=2","sp|Q07955|SFRS1_HUMAN",1.13,0.92,1.2,1.23,0.98,1.24,1.28,1.12,1.45,0.93,0.84,1.19
"74","Tropomyosin alpha-4 chain OS=Homo sapiens GN=TPM4 PE=1 SV=3","sp|P67936|TPM4_HUMAN",1.02,0.98,1.2,1.53,1.28,1.1,NA,NA,NA,0.85,0.84,NA
"75","U1 small nuclear ribonucleoprotein A OS=Homo sapiens GN=SNRPA PE=1 SV=3","sp|P09012|SNRPA_HUMAN",1.11,1.13,1.19,1.11,1.33,0.98,1.1,0.93,1.37,1.19,1.06,0.91
"76","Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens GN=VDAC1 PE=1 SV=2","sp|P21796|VDAC1_HUMAN",0.98,1.3,1.18,0.55,1.03,0.65,0.8,1.87,1.54,0.91,0.82,0.89
"77","Far upstream element-binding protein 1 OS=Homo sapiens GN=FUBP1 PE=1 SV=3","sp|Q96AE4|FUBP1_HUMAN",1.1,0.73,1.18,1.14,NA,1.17,0.84,0.71,1.1,NA,NA,1.09
"78","Vasodilator-stimulated phosphoprotein OS=Homo sapiens GN=VASP PE=1 SV=3","sp|P50552|VASP_HUMAN",1.49,1.3,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Splicing factor, arginine/serine-rich 3 OS=Homo sapiens GN=SFRS3 PE=1 SV=1","sp|P84103|SFRS3_HUMAN",1.11,0.65,1.18,1.1,1.18,1.16,1.11,0.94,1.12,1.24,1.19,1.02
"80","Ubiquitin OS=Homo sapiens GN=RPS27A PE=1 SV=1","sp|P62988|UBIQ_HUMAN",0.82,0.72,1.17,2.11,1.06,1.3,1.13,0.92,1.35,1.51,1.64,1.42
"81","High mobility group protein B2 OS=Homo sapiens GN=HMGB2 PE=1 SV=2","sp|P26583|HMGB2_HUMAN",1.06,1.01,1.17,NA,NA,NA,1.2,1.79,1.86,NA,NA,NA
"82","14-3-3 protein zeta/delta OS=Homo sapiens GN=YWHAZ PE=1 SV=1","sp|P63104|1433Z_HUMAN",1.01,1.24,1.17,0.84,1.01,0.91,1.17,0.99,0.83,1.05,1.06,NA
"83","Far upstream element-binding protein 2 OS=Homo sapiens GN=KHSRP PE=1 SV=3","sp|Q92945|FUBP2_HUMAN",1.07,1.2,1.16,NA,NA,NA,1.24,1.15,1.2,NA,NA,NA
"84","Adenosylhomocysteinase OS=Homo sapiens GN=AHCY PE=1 SV=4","sp|P23526|SAHH_HUMAN",1.08,1.06,1.16,1.02,1.25,1.27,1.38,1.18,1.3,1.16,1.02,NA
"85","Non-POU domain-containing octamer-binding protein OS=Homo sapiens GN=NONO PE=1 SV=4","sp|Q15233|NONO_HUMAN",1.08,0.87,1.16,1.24,1.14,1.22,0.87,1.18,1.18,0.97,0.93,1.22
"86","Fumarate hydratase, mitochondrial OS=Homo sapiens GN=FH PE=1 SV=3","sp|P07954|FUMH_HUMAN",1.09,1.22,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","40S ribosomal protein S21 OS=Homo sapiens GN=RPS21 PE=1 SV=1","sp|P63220|RS21_HUMAN",0.93,1.03,1.16,NA,NA,NA,NA,NA,NA,1.17,0.86,NA
"88","Nascent polypeptide-associated complex subunit alpha OS=Homo sapiens GN=NACA PE=1 SV=1","sp|Q13765|NACA_HUMAN",1,0.96,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3","sp|P19338|NUCL_HUMAN",0.99,1.17,1.15,1.09,1.47,0.96,1.77,1.21,1.29,0.96,0.8,0.94
"90","Activated RNA polymerase II transcriptional coactivator p15 OS=Homo sapiens GN=SUB1 PE=1 SV=3","sp|P53999|TCP4_HUMAN",1.05,0.87,1.15,0.87,0.91,0.73,1.19,1.12,1.03,0.77,0.8,NA
"91","ATP-dependent RNA helicase A OS=Homo sapiens GN=DHX9 PE=1 SV=4","sp|Q08211|DHX9_HUMAN",1.02,NA,1.15,1.43,NA,NA,1.09,1.14,1.14,NA,NA,NA
"92","Endoplasmic reticulum resident protein 29 OS=Homo sapiens GN=ERP29 PE=1 SV=4","sp|P30040|ERP29_HUMAN",1.61,1.14,1.15,1.29,1.03,1.06,1.19,1.14,1.46,1.35,1.15,NA
"93","Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens GN=DDX17 PE=1 SV=1","sp|Q92841|DDX17_HUMAN",1.01,0.82,1.15,1.02,1.03,0.93,0.97,1,1.01,0.83,0.85,0.95
"94","Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens GN=VDAC2 PE=1 SV=2","sp|P45880|VDAC2_HUMAN",0.98,1.22,1.15,0.55,0.75,0.92,0.77,1.85,1.21,0.76,0.66,0.76
"95","Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens GN=HNRNPUL1 PE=1 SV=2","sp|Q9BUJ2|HNRL1_HUMAN",1.2,0.87,1.15,NA,NA,NA,1.2,0.88,1.26,NA,NA,NA
"96","Cytochrome c oxidase subunit 6C OS=Homo sapiens GN=COX6C PE=1 SV=2","sp|P09669|COX6C_HUMAN",0.99,0.98,1.15,0.98,0.99,1.09,NA,NA,NA,0.88,0.97,NA
"97","Tubulin alpha-4A chain OS=Homo sapiens GN=TUBA4A PE=1 SV=1","sp|P68366|TBA4A_HUMAN",0.97,1.1,1.15,1.34,1.13,1.4,NA,NA,NA,1.04,1.01,NA
"98","Tyrosine-protein kinase CSK OS=Homo sapiens GN=CSK PE=1 SV=1","sp|P41240|CSK_HUMAN",1.19,1.05,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3","sp|Q9Y490|TLN1_HUMAN",1.06,1.14,1.14,1.05,1.01,1.16,NA,NA,NA,NA,NA,NA
"100","40S ribosomal protein S15a OS=Homo sapiens GN=RPS15A PE=1 SV=2","sp|P62244|RS15A_HUMAN",1.07,1,1.14,0.94,0.84,0.9,0.95,0.73,0.88,1.02,1.07,NA
"101","Lamin-B receptor OS=Homo sapiens GN=LBR PE=1 SV=2","sp|Q14739|LBR_HUMAN",0.99,0.54,1.14,NA,NA,NA,0.95,0.96,0.91,NA,NA,NA
"102","Actin, alpha cardiac muscle 1 OS=Homo sapiens GN=ACTC1 PE=1 SV=1","sp|P68032|ACTC_HUMAN",1.16,1.15,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Programmed cell death protein 4 OS=Homo sapiens GN=PDCD4 PE=1 SV=1","sp|Q53EL6|PDCD4_HUMAN",1.08,1.06,1.14,NA,NA,NA,1,0.89,1.01,NA,NA,NA
"104","Translocator protein OS=Homo sapiens GN=TSPO PE=1 SV=2","sp|P30536|TSPOA_HUMAN",1.3,1.2,1.13,0.95,0.91,1.05,1.09,1.32,1.14,NA,NA,NA
"105","Histone H2A.J OS=Homo sapiens GN=H2AFJ PE=1 SV=1","sp|Q9BTM1|H2AJ_HUMAN",0.94,1.18,1.13,1.07,1.05,0.86,1.39,2.73,1.12,0.92,0.89,NA
"106","40S ribosomal protein S24 OS=Homo sapiens GN=RPS24 PE=1 SV=1","sp|P62847|RS24_HUMAN",0.96,1.04,1.13,NA,NA,NA,0.64,0.61,0.84,NA,NA,NA
"107","Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens GN=UBA6 PE=1 SV=1","sp|A0AVT1|UBA6_HUMAN",0.8,0.89,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Interleukin enhancer-binding factor 2 OS=Homo sapiens GN=ILF2 PE=1 SV=2","sp|Q12905|ILF2_HUMAN",1.04,0.95,1.12,0.73,NA,0.73,1.11,0.82,1.21,NA,NA,0.65
"109","Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens GN=HNRNPD PE=1 SV=1","sp|Q14103|HNRPD_HUMAN",1.06,0.89,1.12,1.68,0.6,1.64,1.05,0.79,1.13,1.11,1.17,1.58
"110","Calnexin OS=Homo sapiens GN=CANX PE=1 SV=2","sp|P27824|CALX_HUMAN",1.17,1.13,1.12,1.07,0.95,1.29,NA,NA,NA,1.24,1.2,NA
"111","Rho GDP-dissociation inhibitor 1 OS=Homo sapiens GN=ARHGDIA PE=1 SV=3","sp|P52565|GDIR1_HUMAN",0.98,1,1.12,1.04,1.07,1.1,0.97,0.95,1.02,1.03,1.11,NA
"112","Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens GN=ACIN1 PE=1 SV=1","sp|Q9UKV3|ACINU_HUMAN",0.87,0.86,1.12,1.24,NA,0.88,1.28,0.89,1.38,NA,NA,1.19
"113","Putative elongation factor 1-alpha-like 3 OS=Homo sapiens GN=EEF1AL3 PE=5 SV=1","sp|Q5VTE0|EF1A3_HUMAN",0.96,1.32,1.12,0.94,1.03,0.83,0.62,0.65,0.6,1.04,0.93,1.03
"114","60S ribosomal protein L3 OS=Homo sapiens GN=RPL3 PE=1 SV=2","sp|P39023|RL3_HUMAN",1.14,1.05,1.11,0.89,0.97,0.86,0.59,0.76,0.91,NA,NA,NA
"115","6-phosphofructokinase, liver type OS=Homo sapiens GN=PFKL PE=1 SV=6","sp|P17858|K6PL_HUMAN",1.14,1.2,1.11,1.2,1.24,1.26,NA,NA,NA,NA,NA,NA
"116","HLA class II histocompatibility antigen, DR alpha chain OS=Homo sapiens GN=HLA-DRA PE=1 SV=1","sp|P01903|DRA_HUMAN",1.41,1.05,1.11,NA,NA,NA,1.03,1.86,1.29,1.01,1.26,NA
"117","Transcription intermediary factor 1-beta OS=Homo sapiens GN=TRIM28 PE=1 SV=5","sp|Q13263|TIF1B_HUMAN",1.04,1.11,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Protein S100-A8 OS=Homo sapiens GN=S100A8 PE=1 SV=1","sp|P05109|S10A8_HUMAN",0.79,3.58,1.11,1.57,1.38,2.12,0.86,3.23,1.81,1.19,1.26,NA
"119","Small ubiquitin-related modifier 2 OS=Homo sapiens GN=SUMO2 PE=1 SV=1","sp|P61956|SUMO2_HUMAN",1.13,0.82,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Tropomyosin alpha-3 chain OS=Homo sapiens GN=TPM3 PE=1 SV=1","sp|P06753|TPM3_HUMAN",1.08,1.08,1.11,NA,NA,NA,0.94,0.78,0.94,1.23,1.13,NA
"121","Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1","sp|P14625|ENPL_HUMAN",1.14,1.06,1.11,1.34,1.23,1.3,NA,NA,NA,0.98,0.97,NA
"122","Ubiquitin-conjugating enzyme E2 K OS=Homo sapiens GN=UBE2K PE=1 SV=3","sp|P61086|UBE2K_HUMAN",1.14,1.08,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","40S ribosomal protein S14 OS=Homo sapiens GN=RPS14 PE=1 SV=3","sp|P62263|RS14_HUMAN",0.97,1.1,1.11,NA,NA,NA,NA,NA,NA,1.35,1.4,NA
"124","Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=1 SV=3","sp|P07237|PDIA1_HUMAN",1.07,1.15,1.11,1.12,1.38,1.28,NA,NA,NA,1.16,1.25,NA
"125","T-cell leukemia/lymphoma protein 1A OS=Homo sapiens GN=TCL1A PE=1 SV=1","sp|P56279|TCL1A_HUMAN",2.58,0.9,1.1,1.79,1.6,1.19,2.26,2.79,0.97,1.38,1.36,NA
"126","AP-1 complex subunit beta-1 OS=Homo sapiens GN=AP1B1 PE=1 SV=2","sp|Q10567|AP1B1_HUMAN",1.15,0.99,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
